Transaction_ID,Account_Number,Customer_ID,Transaction_Date,Transaction_Type,Transaction_Amount,Currency,Balance_After_Transaction,Transaction_Mode,Transaction_Status,Branch_Code,Transaction_Description,Category,Merchant_Name,Location,Fee_Charged,Fraud_Flag,Device_ID
6fd3e185-3877-401c-86a8-d0aad3d8dba8,NLTZ23351134821754,5d1cec99-b672-4db0-9aea-24c24e2f43bf,2025-05-07,Refund,1542.25,INR,71179.96,Cash,Failed,HYD-5,Reality blood race simply.,Groceries,"Hopkins, Stanton and Johnson",Hyderabad,139.85,false,Mobile
d6e59621-11cf-4679-b916-13aae2d933d5,OWTR35778734468332,c0354e51-b798-4b93-9cd9-733563ce2049,2025-05-04,Transfer,99267.46,INR,298109.6,Card,Pending,HYD-4,Authority available myself watch Mrs senior share.,Travel,"Hartman, Cox and Wright",Hyderabad,360.25,true,Mobile
53438f7c-e98b-4a82-bcc1-c145de5af1db,BXAO46701933911894,af4ac0c6-33ff-4775-ac01-8e8a215ed7a6,2025-05-06,Deposit,69258.58,INR,68293.77,Cheque,Success,BAN-3,Mother man term leg.,Groceries,"Johnson, Brown and Scott",Bangalore,375.72,false,POS
939389a6-adeb-45a8-84f8-fa4bfb0af6a6,ANUD65729475806113,30eee98e-bf7c-4947-8984-0c511d3e49a1,2025-05-04,Refund,26843.59,INR,429367.75,Cheque,Pending,BAN-3,Clearly total wind power recently administration Republican traditional.,Entertainment,Campbell Ltd,Bangalore,210.28,true,Desktop
522a1a50-bd42-4a01-96d1-e87569449990,AJBN46719354503407,838d03cb-3917-419b-8389-450208759fc0,2025-05-07,Payment,78920.95,INR,232179.29,Card,Pending,BAN-3,Skin wear air significant assume build speech.,Groceries,Smith Ltd,Bangalore,351.18,true,Desktop
1cfea585-4aa3-43d9-9008-5ef2ed2f137e,XMSK51035266374657,0ce4c5e8-7a05-4aa1-a546-bf6e52379c27,2025-05-03,Transfer,42122.03,INR,397804.68,Card,Failed,HYD-5,Agree late sense or.,EMI,"Martinez, Bishop and Williams",Hyderabad,498.99,false,POS
9257cf80-0c50-42b4-be12-cf7032541c4c,ASCQ06762363457490,4d758736-e918-4f2b-bd67-65042a1e2519,2025-05-02,Transfer,59080.32,INR,67613.28,Mobile,Failed,HYD-5,Spend professional cause total themselves next.,Groceries,Padilla-Skinner,Hyderabad,352.79,true,Desktop
d37ad771-56b0-4fba-97e3-f3e234101103,ZKQY71886213458593,611aa39d-e2df-4e5d-9270-2a8f52284e87,2025-05-06,Deposit,57243.78,INR,292830.25,Online,Pending,BAN-3,Improve short dog animal.,EMI,"Tyler, Carlson and Herring",Bangalore,97.82,false,POS
78e85e91-f824-4d65-9d90-84b7778dd334,QNTX63227805457375,467ea01d-5ab1-43be-9003-aa36dd59c92a,2025-05-08,Refund,42041.09,INR,347210.34,Online,Failed,HYD-4,Young century sound site least family.,Entertainment,Huynh-Martinez,Hyderabad,347.71,false,ATM
70f78547-f7d5-44f5-910b-90a3677947f2,ZGZQ87459835197820,ac50f7fc-c470-481d-a1db-35a416ac7bc0,2025-05-06,Transfer,7425.57,INR,23029.85,Cash,Success,BAN-3,Left matter still church.,Entertainment,Hoffman Inc,Bangalore,198.38,false,Desktop
