Transaction_ID,Account_Number,Customer_ID,Transaction_Date,Transaction_Type,Transaction_Amount,Currency,Balance_After_Transaction,Transaction_Mode,Transaction_Status,Branch_Code,Transaction_Description,Category,Merchant_Name,Location,Fee_Charged,Fraud_Flag,Device_ID
6fd3e185-3877-401c-86a8-d0aad3d8dba8,NLTZ23351134821754,5d1cec99-b672-4db0-9aea-24c24e2f43bf,2025-05-07,Refund,1542.25,INR,71179.96,Cash,Failed,HYD-5,Reality blood race simply.,Groceries,"Hopkins, Stanton and Johnson",Hyderabad,139.85,false,Mobile
1cfea585-4aa3-43d9-9008-5ef2ed2f137e,XMSK51035266374657,0ce4c5e8-7a05-4aa1-a546-bf6e52379c27,2025-05-03,Transfer,42122.03,INR,397804.68,Card,Failed,HYD-5,Agree late sense or.,EMI,"Martinez, Bishop and Williams",Hyderabad,498.99,false,POS
9257cf80-0c50-42b4-be12-cf7032541c4c,ASCQ06762363457490,4d758736-e918-4f2b-bd67-65042a1e2519,2025-05-02,Transfer,59080.32,INR,67613.28,Mobile,Failed,HYD-5,Spend professional cause total themselves next.,Groceries,Padilla-Skinner,Hyderabad,352.79,true,Desktop
78e85e91-f824-4d65-9d90-84b7778dd334,QNTX63227805457375,467ea01d-5ab1-43be-9003-aa36dd59c92a,2025-05-08,Refund,42041.09,INR,347210.34,Online,Failed,HYD-4,Young century sound site least family.,Entertainment,Huynh-Martinez,Hyderabad,347.71,false,ATM
3f6e53cf-6d9f-4b31-b916-45a214b9ba9b,RXIR64900675518563,663a042b-c651-461c-87d7-fd0ce7ae959b,2025-05-07,Transfer,30908.67,INR,321230.03,Cheque,Failed,HYD-2,Worry interesting green seven hour letter choice.,Entertainment,James Inc,Hyderabad,11.59,false,Mobile
9eb197dc-fccc-4b78-8c07-e007859b8654,BDAU11235398746692,0976d901-b1ba-472a-b4fb-3e54c1664f40,2025-05-01,Refund,61026.99,INR,25333.28,Cash,Failed,BAN-3,Walk actually lose effect theory reach least.,Utility,Wagner PLC,Bangalore,381.77,true,Mobile
f48f240b-2104-41d7-874b-69b9aebfa12d,QTKF98812963274009,37817ee6-8188-4fad-8bc6-ffd5ae4b5636,2025-05-01,Withdrawal,25364.44,INR,31859.62,Mobile,Failed,HYD-4,Later without national growth coach.,Salary,Richardson-Nielsen,Hyderabad,370.28,true,ATM
951c0e1d-f788-4d90-965d-59596f960ef4,PUHA33223114039821,f21ee1f7-418d-44a7-b13a-7879006cf359,2025-05-05,Payment,3375.57,INR,39076.02,Cash,Failed,HYD-2,Phone knowledge fly local wall clearly item.,EMI,Porter-Rodriguez,Hyderabad,159.27,true,ATM
d119386c-f79f-47cf-a0a4-944e8c500e40,ZGFP68894498276342,0c825012-3404-4d6e-80ba-0391af7f829b,2025-05-07,Transfer,90819.43,INR,178358.89,Mobile,Failed,HYD-2,Building agreement kid not prove artist.,Groceries,Brown-Scott,Hyderabad,233.68,false,Desktop
5f34a26e-1e85-4ace-b4b5-4650d7c43687,DJUE92090248554226,42672917-f4da-433b-826a-1683df99d29f,2025-05-04,Payment,86761.3,INR,351655.09,Cheque,Failed,HYD-5,Say ok week blue officer.,Groceries,"Hudson, Lee and Day",Hyderabad,172.46,false,POS
cbb69b76-8ed4-417a-a175-c312fec8616c,ZISO26119342986128,0375d9d0-dca7-4e29-b173-ab0290c1420a,2025-05-03,Refund,92699.66,INR,212849.31,Online,Failed,BAN-3,Knowledge simply often how.,EMI,Padilla-Boyd,Bangalore,410.46,false,Desktop
49416778-4257-4833-addf-de1f8621eda5,BLDD48114751963190,68f1db5a-1f98-4961-830c-7087e8e99409,2025-05-07,Deposit,20436.14,INR,225913.6,Card,Failed,HYD-4,Bag base that second.,Salary,Rice-Hernandez,Hyderabad,96.83,true,Mobile
1180cb16-eeef-4c59-a4ac-9d96b384106a,OTEF13223666720309,4d12266c-81cd-4d41-a084-2a866aa5c95b,2025-05-04,Transfer,58495.33,INR,105438.52,Mobile,Failed,HYD-5,Themselves company teacher at win star.,Shopping,Simpson and Sons,Hyderabad,192.93,false,ATM
e27167b6-92ae-40bb-a3de-6bed088b7ea4,LFIJ34334245970000,b193cfb8-b51c-4f04-9c21-a81bda7161f3,2025-05-05,Payment,37060.5,INR,104531.09,Mobile,Failed,HYD-2,Base street rest itself walk.,Salary,Erickson Inc,Hyderabad,217.05,true,POS
3e4989bd-88ba-4b84-bca3-fa236fb13a84,SZIE69453312519917,4e2d5ddd-ecef-4b57-82cc-a59c7c32a185,2025-05-02,Refund,75776.47,INR,448762.09,Online,Failed,HYD-5,Those but become cause hit create contain.,Utility,"Shah, Lawson and Jones",Hyderabad,308.66,false,POS
cf1ca480-a6d3-46e2-aa37-7e7fa54c26cf,SSPM86699138186853,7cabfcd1-1bcc-47fa-aaf4-181c6e6fed6d,2025-05-07,Deposit,13348.97,INR,408167.55,Cheque,Failed,HYD-4,Audience here vote although begin.,Groceries,Black-Hughes,Hyderabad,35.25,false,Desktop
a4e9d0d7-cc01-4132-859f-b0bab7a690ec,SCLT88052760951172,86845940-b47c-4a23-b91b-eaa6a83e5e24,2025-05-05,Payment,61636.33,INR,19315.36,Online,Failed,HYD-2,Face image chair general.,Utility,"Martin, Cruz and Robertson",Hyderabad,305.75,false,POS
05cd964c-5dc9-47b0-b26c-35b79a77efb3,DRLM98898654837837,cd89e55b-c49a-4815-8ed0-388fff4e50fc,2025-05-03,Deposit,47284.36,INR,243351.14,Cash,Failed,HYD-5,Recently city mouth travel.,Travel,Lloyd Ltd,Hyderabad,393.45,false,ATM
67da136e-4b8b-4be7-b169-65c1c1b4b5f7,CFQU44982155087528,d0a7e23c-8ee5-4b09-bbd3-c56758b32cd8,2025-05-07,Withdrawal,39729.3,INR,254705.42,Cheque,Failed,HYD-2,Heart charge market finish and.,Groceries,"Davila, Brandt and Tucker",Hyderabad,32.07,true,POS
6c1ca54c-2535-49f2-9b36-388ff6414c4d,CUKQ99713981741256,9cc9746c-5d4c-475a-82cc-bfa3d7903672,2025-05-06,Payment,87079.68,INR,125517.72,Cheque,Failed,HYD-2,Range official seat step call.,Shopping,Alvarado LLC,Hyderabad,51.04,true,POS
c01072c3-bff6-4a4f-9ee3-10904fabe4a3,RRDD82980489537472,a36ec291-9ff0-41b0-bc48-549536ad6757,2025-05-07,Withdrawal,69303.73,INR,95619.42,Cheque,Failed,HYD-4,Catch impact suddenly very ok person particular.,Travel,Turner-Tucker,Hyderabad,401.25,false,Desktop
a1e84ddf-627f-4ab4-8610-bc84e2968141,TFNM72324487563919,92c26498-41f4-4535-ba67-3eb71e0ceb1f,2025-05-07,Refund,84730.13,INR,343890.53,Cheque,Failed,HYD-5,Her relate traditional attack find treatment under.,EMI,Harding-Garcia,Hyderabad,357.38,false,Mobile
