Transaction_ID,Account_Number,Customer_ID,Transaction_Date,Transaction_Type,Transaction_Amount,Currency,Balance_After_Transaction,Transaction_Mode,Transaction_Status,Branch_Code,Transaction_Description,Category,Merchant_Name,Location,Fee_Charged,Fraud_Flag,Device_ID
478fe931-63af-4e4e-8fae-4d123d0b351b,LYBR87567351418832,a19dcfb0-62d3-41d4-abdd-b37650990d4d,2025-05-07 16:41:50,Payment,45191.33,INR,56960.65,Card,Failed,BAN-1,Visit have race market western develop floor.,Shopping,Novak-Jordan,Bangalore,315.24,True,ATM
1a792f1f-fbd0-4097-9e83-ae88e67e1907,ZLHP15957960774634,53f05285-eac4-4334-b8f2-be0993b984b4,2025-05-04 14:30:08,Refund,24896.46,INR,84132.57,Card,Failed,BAN-1,Gas break quickly while material.,Groceries,Bond LLC,Bangalore,135.94,False,ATM
f5e4ed58-23cf-4da9-b4fa-74e4c8718a85,KNDJ21949599858471,718e53ac-fc65-4744-afc8-7dd39c1787dc,2025-05-05 07:26:54,Transfer,21137.95,INR,101065.72,Card,Failed,BAN-1,Kid environmental night off thus.,Salary,Allen-Hunt,Bangalore,267.37,True,Mobile
53fa9a15-9e63-44b9-97ae-3764312ff1cb,LNDB73633680615931,97a9c5f9-c0b3-43a8-b5fb-85e60d27d0d4,2025-05-04 10:53:17,Deposit,9872.98,INR,394889.02,Card,Pending,BAN-1,International despite instead list skin perhaps.,Salary,"Harper, Lee and Thompson",Bangalore,35.29,True,ATM
bbd1e22e-eb54-49d5-81b8-d2dccc262409,XFJX94823210363030,f6f936fb-2186-4e41-8f43-6f045dfdf9f4,2025-05-07 22:10:10,Refund,72857.67,INR,494764.88,Cash,Pending,BAN-1,Sense forget range contain.,Utility,Robinson LLC,Bangalore,311.96,False,Desktop
be2cfba5-13b4-4b76-bc6f-720119b15a6a,UVCA78795838117922,200b542a-2dd8-4e1b-b662-0771fdc950c6,2025-05-05 00:21:05,Transfer,24489.65,INR,213111.08,Online,Failed,BAN-1,Laugh nice speech these have dark fight really.,Salary,Jones PLC,Bangalore,105.66,False,POS
512c20de-43b7-4a12-9594-d407c47c4ef6,BGYT84382854930235,54faf446-34c5-4ea9-8f56-2942a2b2930b,2025-05-06 23:21:33,Transfer,64198.28,INR,18256.14,Online,Failed,BAN-1,Animal letter security bag.,Utility,Brown-Ramirez,Bangalore,162.44,True,POS
c363e4b9-8da3-4af2-88c5-70685240f3df,RPBX72081153758425,fae01d18-2e13-48f9-87dc-ca20a97c5cfd,2025-05-07 01:56:31,Withdrawal,97393.86,INR,413529.44,Cheque,Failed,BAN-1,This positive senior budget challenge answer business hit.,Utility,Bates and Sons,Bangalore,118.1,True,POS
43129f84-426f-4922-9920-544c3db79ae7,BMLU45123571702314,4374eca7-da56-4203-86f4-286cd788652b,2025-05-03 20:29:57,Transfer,66632.11,INR,304958.64,Card,Pending,BAN-1,Recent oil memory collection theory.,Groceries,"Stewart, Morris and Clark",Bangalore,369.0,False,Mobile
6f3f2192-bf81-42df-a07f-c085474bb131,TXEH71067107080863,e23d52ac-f7d7-44ba-829a-0556458c8e20,2025-05-01 11:00:26,Payment,45439.92,INR,37115.67,Cash,Failed,BAN-1,Early name country.,Utility,Hart-Hammond,Bangalore,385.74,False,Desktop
ca74cac1-aa41-46f7-a8d5-1a70a12dd7e2,QIZY02674525225631,20a85df9-1de6-4ddf-9cb4-b9de55b45c8c,2025-05-07 11:28:59,Refund,31118.23,INR,387515.75,Card,Success,BAN-1,State financial partner we.,Shopping,"Walker, Riley and Ryan",Bangalore,279.59,True,Desktop
84f4adb7-55f7-4bb4-8af6-91556893c3b2,IBFV21034409593912,ce8421ac-97ef-4c3a-9b85-a00b610caf63,2025-05-03 12:32:43,Payment,33957.63,INR,69718.06,Card,Pending,BAN-1,Must long moment until you.,Travel,Garcia-Mendoza,Bangalore,481.46,False,Mobile
645c3ace-0634-404b-8a92-2baaecf322e8,TVHD99174133651542,236f2d18-adcd-4efd-9a04-b4061ce484c4,2025-05-04 00:06:20,Transfer,94747.01,INR,249643.48,Mobile,Success,BAN-1,Individual head message do miss much bar short.,Travel,Anderson-Lane,Bangalore,272.02,False,Desktop
c76cfa7f-27de-46bb-9545-df1e89267824,AMTI24692790225678,7ec2152d-9eb8-4db5-97a7-cd543e7f1398,2025-05-08 06:05:36,Payment,32310.26,INR,149647.98,Online,Pending,BAN-1,Poor newspaper set include serious fall.,Salary,Phelps PLC,Bangalore,480.99,True,Desktop
a38e1832-dcaf-428f-90eb-d5c9dccfde0d,BKZB29177873776818,1259f4df-cb2f-4452-8115-c42a958ae17c,2025-05-06 01:32:15,Payment,43315.27,INR,486299.55,Mobile,Success,BAN-1,Behind six red play hold top.,Shopping,"Clements, Bean and Mooney",Bangalore,145.45,True,ATM
