Transaction_ID,Account_Number,Customer_ID,Transaction_Date,Transaction_Type,Transaction_Amount,Currency,Balance_After_Transaction,Transaction_Mode,Transaction_Status,Branch_Code,Transaction_Description,Category,Merchant_Name,Location,Fee_Charged,Fraud_Flag,Device_ID
3c84b19e-aedb-403b-8098-81736ee131fe,GPIL28800836349963,592f4d9a-77b0-4b26-9c1e-e60ee520458b,2025-05-07 23:13:41,Deposit,25155.24,INR,8389.54,Cheque,Success,HYD-1,Laugh out recent step respond these per.,EMI,Sanders-Rollins,Hyderabad,255.14,False,POS
3d3a3ba3-db16-4483-a220-26e190fe02ce,IVTB89885234053907,743faaef-3270-4d2f-9ebc-c6b1c9e308c9,2025-05-07 00:58:31,Transfer,86166.82,INR,48729.04,Online,Failed,HYD-1,Push total idea suddenly huge.,Travel,"Edwards, Tran and Hayes",Hyderabad,247.07,False,POS
101dc99e-c156-49b2-97a4-476e97ee56d9,LMAK38438254843745,eadbd5f2-fb47-4373-81b0-2109c8e224b6,2025-05-06 08:35:56,Payment,27892.86,INR,118374.53,Cash,Success,HYD-1,Machine give eye pull.,Utility,Johnston-Sims,Hyderabad,438.91,True,POS
5ebf7085-30b4-485c-bf9f-ea01653ba5f8,YEUE06466832724898,51828a9a-852b-41bb-9344-94620e3447ce,2025-05-04 03:51:42,Deposit,55974.56,INR,180922.12,Online,Success,HYD-1,Site dream trouble fast simple.,EMI,"Powers, Wood and Lee",Hyderabad,271.81,False,ATM
c0387185-b833-4f6b-abd0-b53c1fea6d66,XWIL83215271897452,b1390267-425c-4552-a62e-d2c7f523bf4e,2025-05-05 03:00:39,Refund,32509.26,INR,50603.09,Online,Pending,HYD-1,Draw professional human hotel seven.,Salary,"Wood, Gonzalez and Barron",Hyderabad,311.43,True,Desktop
f0379e13-1c82-476a-a414-a69822a61618,BNYZ37617773354809,553db413-e0a5-4a0c-b301-220e4c76b9e7,2025-05-07 13:22:52,Payment,58490.7,INR,415473.97,Online,Failed,HYD-1,Congress return wait interest cause compare soon relationship.,Salary,Hooper Group,Hyderabad,288.11,False,Desktop
2c1b875a-1bd1-4a0c-ae4f-519f6142d506,XIWO23357739530830,2f346096-0942-4447-959b-9bd2a958846c,2025-05-01 07:59:38,Payment,32228.56,INR,355462.5,Card,Failed,HYD-1,Onto quality today today success road.,Shopping,"Duarte, Duncan and Kelley",Hyderabad,87.36,False,Desktop
1a510b3c-606e-4950-bb45-02bd3f86874d,DMQO51236806969394,b40d32f2-9af2-4d66-b710-e115dc18d23c,2025-05-01 09:27:34,Transfer,38535.51,INR,368239.89,Card,Pending,HYD-1,Stuff learn animal assume ok among.,Salary,Chavez-Burnett,Hyderabad,366.32,True,ATM
f0fbeeba-6617-407d-a874-d2091ebedb3e,KKHI15923918788908,7f1e2366-0d74-4ad1-9bbe-d08a56f7e23f,2025-05-06 02:01:27,Transfer,32038.4,INR,336891.96,Card,Success,HYD-1,Herself onto receive hair then perform respond.,Travel,Roberts Ltd,Hyderabad,413.04,True,POS
e01a7e08-5278-4f04-a6bd-75b9e198bb77,KKGS96013692440335,2716755f-0b0b-49a7-9d26-42f16b3c0200,2025-05-06 18:27:55,Refund,42965.31,INR,386580.31,Cash,Failed,HYD-1,American fly former person face knowledge.,Shopping,Rich-Mitchell,Hyderabad,104.97,False,ATM
94428f47-d1a6-4d51-91da-46ee0099a296,TLPQ46997288845950,393c226c-c284-4f7a-9ee9-1a249751b075,2025-05-01 13:28:59,Refund,37556.27,INR,97883.09,Cash,Success,HYD-1,Keep no discussion fish.,Groceries,"Porter, Davis and Santos",Hyderabad,101.32,False,ATM
79fa4908-96bb-4e74-b85a-e482b501c08a,HQPV61673722649002,92a3e9c3-1581-4af6-b962-c915bbf8ac0b,2025-05-02 04:11:08,Refund,9334.91,INR,310975.55,Mobile,Pending,HYD-1,Thousand significant pretty.,Salary,Cruz Inc,Hyderabad,193.03,False,Desktop
88cdc31d-b859-4953-acb7-e12076115141,STNP04084891670345,9250602f-0b9e-4e5b-870f-7b4fb3a6a1d2,2025-05-04 02:17:02,Payment,33628.16,INR,159659.95,Online,Failed,HYD-1,Forward store serious true special central speech charge.,Travel,"Delacruz, Potter and Snyder",Hyderabad,365.4,True,Mobile
e7d3cdce-dd79-4e52-badb-d8d8d549b277,UUEY18931058146758,09f7ddb8-9297-4ce8-af08-5630d798d3c5,2025-05-03 22:16:21,Payment,78168.78,INR,19311.68,Card,Failed,HYD-1,Television good time officer investment really.,Groceries,"Barton, Harris and Fisher",Hyderabad,419.6,True,ATM
56987e0b-5562-4320-8649-1035fe400d91,ULEQ14304058692582,8c1dc75c-641d-4b13-9641-d1e48918b814,2025-05-04 22:06:47,Transfer,59333.64,INR,35213.87,Cheque,Failed,HYD-1,Gas plan every American brother.,Utility,"Hopkins, Campbell and Zimmerman",Hyderabad,124.05,True,Mobile
cb790ce9-1de0-4a42-a4c5-5c999390a4a5,ZVKC40510811816621,8eddb31f-c876-47d6-b70d-7b78528d17e1,2025-05-02 01:02:06,Transfer,42719.54,INR,302097.21,Mobile,Pending,HYD-1,Friend base consumer image.,EMI,"Miller, Werner and Wilson",Hyderabad,469.03,True,POS
21029cd0-9401-4bbc-8b5b-96d563d75b7b,LEEV66084364565950,a1b98468-e9af-4b3f-8ec6-2d16eb12d3ca,2025-05-04 19:09:04,Payment,79139.89,INR,248061.8,Cheque,Pending,HYD-1,How inside career spring customer pretty.,Salary,Sutton Group,Hyderabad,455.76,False,Mobile
b68d36d4-8d72-4e09-b471-c17dee169f7f,GKME71970453658423,d948db76-d1c7-4c5f-9bf0-e79fb6c67ded,2025-05-01 23:37:20,Transfer,55455.0,INR,299530.44,Cash,Pending,HYD-1,Garden phone edge school.,Groceries,Gomez Inc,Hyderabad,193.68,False,ATM
76a04baa-8798-475a-9a1d-a4a2bb7c1e98,TCJP77278150072493,29658f9e-345d-4a6a-a7ac-994646f16e2e,2025-05-01 16:11:16,Payment,92796.56,INR,24035.66,Cash,Success,HYD-1,Produce public know politics glass into.,Travel,Weber Ltd,Hyderabad,405.23,True,ATM
fc32fe79-61ae-4185-aa97-4aa87575d58f,CNLK44139876111208,004185e9-34ca-4a67-ad03-3cac8aff1e94,2025-05-05 15:41:00,Transfer,62183.46,INR,242740.15,Online,Success,HYD-1,Ahead how because program up forward unit particular.,Groceries,Pearson-Colon,Hyderabad,139.97,False,ATM
fc0c408b-5b27-43d2-b7cd-f410dadaf905,ZARC94518950941016,231e25ea-b4f8-425b-8b2c-7508450e2886,2025-05-03 02:30:13,Deposit,22831.54,INR,255625.28,Online,Pending,HYD-1,Lot real act energy water.,Entertainment,"Ortega, Armstrong and Owens",Hyderabad,436.8,False,ATM
2462a645-761d-4012-b297-5a8f22e13552,RHCT02656226402710,faa60ae8-c2e0-46f9-92a5-91d5564541f3,2025-05-04 02:23:50,Withdrawal,57008.72,INR,197928.19,Cash,Failed,HYD-1,Purpose fill remember go.,EMI,"Spencer, Reynolds and Reid",Hyderabad,298.36,True,POS
e6ca2fed-e5bd-4bf5-b1ae-1c494ed73f1c,SRFS04633846404316,89ceea47-0cbf-4bef-84b0-c82044162f0a,2025-05-03 03:17:33,Payment,2673.02,INR,257956.99,Cheque,Pending,HYD-1,Century contain contain movement.,EMI,"Hall, Ward and Stevenson",Hyderabad,420.25,False,POS
d926ea0e-9c34-4675-bf92-94d9160c2c3c,IQAH55783394315608,fdde96a8-2a96-4183-ab9a-fd91ece3da45,2025-05-02 06:36:48,Refund,25088.51,INR,164243.48,Online,Pending,HYD-1,Cover loss everyone hard blue relate forget.,Groceries,"Lopez, Franco and Bishop",Hyderabad,456.45,False,POS
0ee9bf81-5fbe-43ca-8dd0-0f99e96a9598,HDLR17317704287078,1401a412-8e5c-4140-80b6-2cee4586582e,2025-05-03 13:21:16,Transfer,24516.23,INR,155668.74,Cash,Success,HYD-1,Among relationship buy state look.,EMI,"Moss, Dickerson and Velazquez",Hyderabad,57.22,False,POS
0ba4b9a0-95c0-4acf-b654-f477ec0fb4fb,JAFB03840202345095,a06c29fc-4360-4dac-a51a-34db97400d85,2025-05-02 07:37:57,Payment,71230.33,INR,351486.74,Cheque,Success,HYD-1,I change send feeling view beat.,Groceries,"Jackson, Peters and Klein",Hyderabad,323.23,True,POS
22ff0c98-59f1-47e2-87ee-9c4835fae4d0,GFKQ65796118489048,6a78a69f-77f8-4935-891f-07ff2c676e77,2025-05-07 16:07:47,Deposit,77154.8,INR,340495.65,Mobile,Failed,HYD-1,Race plan position your western scene.,Utility,Huerta-Shelton,Hyderabad,459.93,False,ATM
8cf49919-d898-4d4d-97e0-7066738756ef,LNKU51894575334408,9cbbaa7a-8f55-4d7c-a6fd-e4617654a332,2025-05-05 00:37:20,Transfer,97938.97,INR,122207.38,Mobile,Pending,HYD-1,Behavior star environmental fund order why.,Entertainment,Miller-Floyd,Hyderabad,92.75,True,ATM
35ee8706-5402-47fa-804c-43ce5e5efe55,ZEMV84810260263246,9dc2e2db-8cf4-4826-8562-fe29da1d7815,2025-05-07 21:58:14,Withdrawal,31396.88,INR,421940.25,Mobile,Failed,HYD-1,Among unit space.,Entertainment,Vazquez Group,Hyderabad,2.95,True,Desktop
76e79808-ccb2-46cb-8fbd-5bffa7fa8e27,BDBT32422859695739,833319d5-aa24-47b1-a4be-8d2ed0b71b68,2025-05-01 18:09:32,Refund,23822.52,INR,225203.49,Mobile,Failed,HYD-1,Few sometimes particular manager long.,Entertainment,Glass-Simpson,Hyderabad,416.43,False,POS
9761364d-8e75-4183-8c17-c0ee1491579a,AOCU58439410968979,a8289320-01df-43ed-af39-9d35cd6b9957,2025-05-03 08:52:35,Withdrawal,93819.77,INR,76825.92,Cheque,Failed,HYD-1,View store same form course white letter.,Utility,Stevens-Flores,Hyderabad,107.46,True,ATM
1b7f1357-48f8-4fe7-85a0-afbd3c7deff9,RFNW07602130002057,d25dcae2-23ee-4eb9-b34d-3f58e6b55976,2025-05-03 15:01:52,Deposit,23204.85,INR,256144.7,Card,Failed,HYD-1,So international religious central beautiful approach see.,Shopping,Stevenson-Hill,Hyderabad,322.02,True,POS
6fff6625-619c-4c5e-81d7-d03dd1cbee8c,NQHM27216973296294,2c6a91f5-7886-4a0c-973e-2e2458f54a2b,2025-05-03 14:52:20,Withdrawal,26982.31,INR,368002.41,Online,Pending,HYD-1,Red coach beat could play while.,Travel,Dixon-Woods,Hyderabad,200.32,True,Mobile
de1a8915-7309-4e4a-9a17-4dd191ce0983,EAED14672677905435,7ecfcacf-734c-49b6-8a9b-1fab58db6921,2025-05-07 11:26:11,Refund,34347.36,INR,263074.64,Cash,Pending,HYD-1,But reach evening response dream young might.,Shopping,"Marshall, Solis and Booth",Hyderabad,412.43,True,POS
332f3ac6-6db3-4903-afe9-c668e634883e,VXNT81318650069347,4237afdc-b619-4a07-bc70-42eff9aef16e,2025-05-06 09:01:28,Payment,68668.92,INR,413113.3,Online,Failed,HYD-1,Culture huge movie politics.,Salary,Bradley Inc,Hyderabad,361.71,True,ATM
2a10119d-1824-4773-a01b-c54fda03ab3a,MHSI45144426882506,ab0422a9-6bb3-4599-87bf-82186d66eb15,2025-05-01 11:15:05,Deposit,65420.75,INR,188169.43,Card,Success,HYD-1,Relationship place husband decision blood different.,Shopping,Guerrero-Knight,Hyderabad,245.58,False,ATM
4791b863-66c0-4c71-9eb0-9f01a1a7db4e,WCAH46845422030520,e73d1213-7ac1-41cf-89b8-6aaf4074ccec,2025-05-03 15:20:14,Deposit,89011.46,INR,149253.8,Card,Failed,HYD-1,Prevent style religious per stage break.,EMI,"Dickson, Garcia and Wilson",Hyderabad,338.53,True,Desktop
587928b5-454b-4ec1-8685-58c71ca56cb3,EQJU14935105858264,188c0fd4-dc7f-4e58-a177-ff2062d1b893,2025-05-04 23:08:03,Withdrawal,54576.58,INR,167395.02,Mobile,Pending,HYD-1,Worry religious goal prevent participant once.,Shopping,Tanner Group,Hyderabad,255.24,False,Desktop
48c0d0b1-923e-424f-877d-f47c73629bf7,EMKW50187925169081,d858e3da-ae2f-4ff7-98ae-c38ea0af06ec,2025-05-02 23:11:19,Deposit,25958.02,INR,364058.42,Cash,Pending,HYD-1,Month morning throughout wish choose.,Groceries,Phelps LLC,Hyderabad,307.43,False,ATM
