Transaction_ID,Account_Number,Customer_ID,Transaction_Date,Transaction_Type,Transaction_Amount,Currency,Balance_After_Transaction,Transaction_Mode,Transaction_Status,Branch_Code,Transaction_Description,Category,Merchant_Name,Location,Fee_Charged,Fraud_Flag,Device_ID
8b5e30aa-6da2-4960-8902-144ab2a75105,PXAC56469615044357,e4deac50-6a45-47a4-8b0a-3c561e37ac79,2025-05-07 23:49:06,Withdrawal,43230.54,INR,187848.92,Cash,Pending,MUM-5,School simply recently land number be begin.,Shopping,Mckinney Inc,Mumbai,7.12,False,ATM
7721c0b0-76b6-4e92-a8ae-75f3fb284416,HTVC54408553503399,aa249bc2-9ba9-4e81-bf35-4fdb2f6030d5,2025-05-04 02:05:21,Refund,99103.23,INR,131341.69,Cash,Success,MUM-5,Page news front enjoy.,Salary,Richmond-Silva,Mumbai,385.83,True,POS
fec319bf-d49f-49bb-a9af-196a456a7c32,HJOE53603805049117,2a07af68-d88d-4833-ad15-dce6276b375c,2025-05-07 00:43:35,Refund,61177.69,INR,144843.07,Card,Failed,MUM-5,Scene growth type reveal risk office various.,Utility,Murphy-Johnson,Mumbai,133.16,False,POS
52ce3284-1ebf-41ee-8dab-79e7b699f430,OIZT02322097459711,cb6deec2-83f6-4f31-b1ef-f623b5e1b758,2025-05-03 05:23:32,Payment,49579.69,INR,394062.87,Card,Success,MUM-5,Street guy find news.,Groceries,"Donaldson, Butler and Jacobs",Mumbai,205.48,False,Desktop
11123797-a540-4edb-b00e-a3599513f409,HYVD68051892207919,df8c0fd0-08f0-4a10-b74d-e17287a256f8,2025-05-05 21:00:47,Refund,98581.38,INR,210756.61,Mobile,Failed,MUM-5,Since candidate without late sometimes note admit suddenly.,EMI,Turner and Sons,Mumbai,167.8,True,POS
fd287575-abde-4bce-b597-687b6b275322,XSUR36845188018461,4a262df1-7d57-49b3-9aad-e4f60bcba5f4,2025-05-06 22:49:17,Refund,55387.13,INR,22758.11,Cheque,Success,MUM-5,Democratic low quite.,Utility,Butler PLC,Mumbai,429.34,False,ATM
d68dbf01-8a36-411f-b886-5edc1c56d3cd,SSBD73467095420661,519500e7-fe64-412d-bd48-ccd1200248ce,2025-05-04 14:09:11,Withdrawal,20009.49,INR,280375.62,Cheque,Pending,MUM-5,Statement community prepare claim.,Salary,Hess-Russell,Mumbai,433.69,True,Mobile
83ff81a5-8aad-4208-ba45-0f0703f50d5e,ZEII53684247115908,ba68f348-578a-408f-9702-538b3a42a661,2025-05-08 00:33:39,Refund,28022.9,INR,391134.45,Cheque,Failed,MUM-5,All morning message late.,Groceries,"Sanford, Rodriguez and Morgan",Mumbai,349.29,False,POS
05f43415-7d0d-43bc-9409-3b5597e15835,CTBV29771067245042,61aec77e-a783-4857-a9bc-b6b3380f1ad4,2025-05-02 04:05:46,Deposit,84586.43,INR,387044.55,Online,Failed,MUM-5,Life sign attention take house together just.,Entertainment,"Gibson, Mason and Lyons",Mumbai,314.14,False,POS
0c4d8ffe-b7b9-409d-86e2-d3ccd7d6b18f,ZTHX26242690170916,6502a70e-1561-45b8-8a85-bcb238c10ce6,2025-05-03 03:28:42,Withdrawal,45777.12,INR,341004.71,Cheque,Success,MUM-5,Exist investment sometimes get.,Utility,Cruz-Parker,Mumbai,480.75,True,Mobile
97f6574e-aa1e-4092-9353-7a96e045d1ed,KFHW46394146684666,a2502171-cae6-4764-8f26-7db9f3cb4388,2025-05-03 09:52:40,Refund,83683.6,INR,300577.22,Cash,Pending,MUM-5,Happy around evidence source recent build wait.,EMI,Serrano-Nelson,Mumbai,169.41,False,POS
fe4201e2-308f-4597-ab41-b69f699820cb,ACRV14176932425830,b0053a86-9236-4735-b786-e908da7913d7,2025-05-06 13:37:26,Refund,48953.2,INR,175955.21,Mobile,Pending,MUM-5,Maybe series after.,Salary,West Ltd,Mumbai,436.94,False,Mobile
6e211e22-b712-4ad7-912b-1f43ebb427e1,SYJG58477517279276,19033d3d-6e94-4cf1-8ee4-4d74a61f1fbf,2025-05-07 06:18:18,Refund,9150.08,INR,493734.7,Mobile,Failed,MUM-5,Page chance like majority inside here high fish.,Groceries,Kirk LLC,Mumbai,68.71,False,ATM
4f360896-8eb7-41d0-9f51-cb6542352063,LLPG09053338078401,4def0712-b23a-40ab-be1a-e91e9c0c4c25,2025-05-01 21:18:35,Deposit,88211.21,INR,260718.28,Cash,Failed,MUM-5,Possible training song suggest.,Shopping,"Harris, Gonzalez and Jones",Mumbai,89.42,True,POS
dbc46dbf-a4fa-4632-a776-5fe8e756448d,KGCW36154074932615,79ccbdca-20e2-4f3a-9f50-d1fe693beb25,2025-05-03 07:02:30,Deposit,31336.96,INR,262355.42,Online,Pending,MUM-5,Coach court them trial.,Groceries,"Atkins, Guzman and Larsen",Mumbai,201.85,False,POS
f80d9bc8-3993-44e8-ab5f-61e05eec1160,BCOX31755285640755,b4c17ef1-bb99-450d-a773-0f3f6e3cf65d,2025-05-05 23:38:10,Transfer,43035.63,INR,363848.25,Online,Pending,MUM-5,Forward everybody director true.,Travel,Thompson-Martinez,Mumbai,101.92,False,POS
032d245c-3aaf-49a0-b145-4e015e9f3acd,BGVV02621776081663,1d1f1eff-0af0-4e82-9b65-ae1782994f36,2025-05-08 03:32:49,Refund,10506.29,INR,260591.13,Cheque,Failed,MUM-5,Listen purpose management from everything.,Utility,Thompson-Farmer,Mumbai,252.14,True,POS
d8a3d9a5-a246-4e98-97d7-9475ef3a20d1,FFYT13401641351739,08490040-4c8c-48b6-bc30-28bea26a54a8,2025-05-08 04:49:52,Payment,46959.12,INR,227384.03,Mobile,Success,MUM-5,Computer individual east listen daughter around.,Groceries,Espinoza Inc,Mumbai,74.49,True,POS
72ddcc50-3a37-4eab-90f5-b3c46832ccae,PYJZ81855593355855,b5730fe0-9ab0-4d0d-bce5-7f550b87b527,2025-05-08 01:29:20,Payment,67459.01,INR,274838.88,Cash,Failed,MUM-5,Public which effect available although or.,Groceries,Keller-Cole,Mumbai,345.48,True,POS
f9f067c0-f709-48b4-8bca-cc8308f65447,FIIT28541814529479,3a177596-3a74-4b67-b5a9-0f5e401fc15b,2025-05-03 17:46:35,Payment,89235.85,INR,173503.13,Cheque,Failed,MUM-5,Really time sing wish.,Salary,Larsen-Holmes,Mumbai,404.39,True,ATM
4015a19e-f9a0-4c47-b918-556f5c61800b,NVAY66104776891124,383f1af4-428c-4608-8e60-47282bebd886,2025-05-04 12:32:52,Withdrawal,19496.36,INR,13477.24,Card,Success,MUM-5,Our the computer difference event figure.,Shopping,Horton Group,Mumbai,186.41,False,Mobile
9bcf5ee9-1696-43c8-861a-6db309ccf946,KYHL05587252155688,9a1e4613-2dcf-4804-877d-58b47e47747d,2025-05-05 12:28:18,Transfer,28193.2,INR,372813.41,Card,Failed,MUM-5,Middle ever rich view attorney.,Travel,Mitchell Inc,Mumbai,36.63,True,Mobile
